timestamp,alpha,beta,theta,diff
2024-11-08|15:38:09.086,0.2895,-0.0737,-0.2707,20.0000
2024-11-08|15:38:09.291,0.3165,-0.0602,-0.2631,20.0000
2024-11-08|15:38:09.496,0.3782,-0.0545,-0.2308,20.0000
2024-11-08|15:38:09.700,0.4110,-0.0523,-0.1852,20.0000
2024-11-08|15:38:09.916,0.4173,-0.0509,-0.1480,20.0000
2024-11-08|15:38:10.118,0.4138,-0.0465,-0.1295,20.0000
2024-11-08|15:38:10.327,0.4122,-0.0372,-0.1230,20.0000
2024-11-08|15:38:10.529,0.4122,-0.0372,-0.1230,20.0000
2024-11-08|15:38:10.730,0.4122,-0.0240,-0.1191,20.0000
2024-11-08|15:38:10.931,0.4122,-0.0091,-0.1157,20.0000
2024-11-08|15:38:11.150,0.4122,0.0053,-0.1152,20.0000
2024-11-08|15:38:11.351,0.4122,0.0184,-0.1177,20.0000
2024-11-08|15:38:11.554,0.4122,0.0282,-0.1187,20.0000
2024-11-08|15:38:11.756,0.4122,0.0308,-0.1123,20.0000
2024-11-08|15:38:11.960,0.4122,0.0308,-0.1123,20.0000
2024-11-08|15:38:12.163,0.3944,0.0234,-0.0955,20.0000
2024-11-08|15:38:12.365,0.3675,0.0079,-0.0743,20.0000
2024-11-08|15:38:12.568,0.3655,-0.0104,-0.0602,20.0000
2024-11-08|15:38:12.769,0.3583,-0.0257,-0.0658,20.0000
2024-11-08|15:38:12.971,0.3494,-0.0355,-0.0918,20.0000
2024-11-08|15:38:13.173,0.3031,-0.0401,-0.1253,20.0000
2024-11-08|15:38:13.390,0.3031,-0.0401,-0.1253,20.0000
2024-11-08|15:38:13.593,0.2373,-0.0417,-0.1478,20.0000
2024-11-08|15:38:13.795,0.1872,-0.0436,-0.1479,20.0000
2024-11-08|15:38:13.998,0.1681,-0.0467,-0.1317,20.0000
2024-11-08|15:38:14.199,0.1645,-0.0508,-0.1111,20.0000
2024-11-08|15:38:14.400,0.1645,-0.0562,-0.0904,20.0000
2024-11-08|15:38:14.604,0.1666,-0.0630,-0.0709,20.0000
2024-11-08|15:38:14.806,0.1666,-0.0630,-0.0709,20.0000
2024-11-08|15:38:15.012,0.1692,-0.0713,-0.0561,20.0000
2024-11-08|15:38:15.210,0.1706,-0.0813,-0.0515,20.0000
2024-11-08|15:38:15.411,0.1666,-0.0920,-0.0633,20.0000
2024-11-08|15:38:15.630,0.1469,-0.0992,-0.0926,20.0000
2024-11-08|15:38:15.831,0.1506,-0.0984,-0.1309,20.0000
2024-11-08|15:38:16.033,0.1572,-0.0911,-0.1616,20.0000
2024-11-08|15:38:16.235,0.1572,-0.0911,-0.1616,20.0000
2024-11-08|15:38:16.437,0.1484,-0.0847,-0.1704,20.0000
2024-11-08|15:38:16.640,0.1105,-0.0844,-0.1576,20.0000
2024-11-08|15:38:16.841,0.1032,-0.0897,-0.1365,20.0000
2024-11-08|15:38:17.060,0.1198,-0.0959,-0.1184,20.0000
2024-11-08|15:38:17.263,0.1211,-0.1015,-0.1093,20.0000
2024-11-08|15:38:17.464,0.1211,-0.1015,-0.1093,20.0000
2024-11-08|15:38:17.665,0.1191,-0.1082,-0.1102,20.0000
2024-11-08|15:38:17.867,0.1007,-0.1157,-0.1188,20.0000
2024-11-08|15:38:18.068,0.0760,-0.1197,-0.1300,20.0000
2024-11-08|15:38:18.271,0.0541,-0.1152,-0.1395,20.0000
2024-11-08|15:38:18.473,0.0487,-0.1015,-0.1454,20.0000
2024-11-08|15:38:18.677,0.0487,-0.1015,-0.1454,20.0000
2024-11-08|15:38:18.876,0.0463,-0.0842,-0.1511,20.0000
2024-11-08|15:38:19.077,0.0648,-0.0696,-0.1571,20.0000
2024-11-08|15:38:19.278,0.0755,-0.0607,-0.1608,20.0000
2024-11-08|15:38:19.480,0.0844,-0.0568,-0.1595,20.0000
