timestamp,alpha,beta,theta,diff
2024-11-08|16:23:07.230,0.4294,-0.0089,0.5773,100.0000
2024-11-08|16:23:07.431,0.4442,-0.0089,0.5872,100.0000
2024-11-08|16:23:07.649,0.4442,-0.0137,0.5872,100.0000
2024-11-08|16:23:07.852,0.4739,-0.0225,0.5971,100.0000
2024-11-08|16:23:08.058,0.5053,-0.0343,0.6067,100.0000
2024-11-08|16:23:08.262,0.5164,-0.0445,0.6159,100.0000
2024-11-08|16:23:08.465,0.5517,-0.0473,0.6159,100.0000
2024-11-08|16:23:08.670,0.6250,-0.0416,0.6508,100.0000
2024-11-08|16:23:08.872,0.7090,-0.0303,0.6753,100.0000
2024-11-08|16:23:09.077,0.7276,-0.0303,0.6882,100.0000
2024-11-08|16:23:09.297,0.7276,-0.0183,0.6774,100.0000
2024-11-08|16:23:09.498,0.7276,-0.0056,0.6774,100.0000
2024-11-08|16:23:09.701,0.7276,0.0085,0.6414,100.0000
2024-11-08|16:23:09.903,0.7276,0.0215,0.5914,100.0000
2024-11-08|16:23:10.105,0.7187,0.0289,0.5435,100.0000
2024-11-08|16:23:10.311,0.6985,0.0296,0.5092,100.0000
2024-11-08|16:23:10.515,0.6985,0.0296,0.5092,100.0000
2024-11-08|16:23:10.720,0.6802,0.0297,0.4916,100.0000
2024-11-08|16:23:10.923,0.6738,0.0362,0.4855,100.0000
2024-11-08|16:23:11.126,0.6726,0.0511,0.4833,100.0000
2024-11-08|16:23:11.326,0.6691,0.0700,0.4783,100.0000
2024-11-08|16:23:11.528,0.6691,0.0866,0.4697,100.0000
2024-11-08|16:23:11.730,0.6687,0.0970,0.4557,100.0000
2024-11-08|16:23:11.932,0.6687,0.0970,0.4557,100.0000
2024-11-08|16:23:12.133,0.6637,0.0995,0.4274,100.0000
2024-11-08|16:23:12.337,0.6534,0.0932,0.3693,100.0000
2024-11-08|16:23:12.537,0.6387,0.0784,0.2728,100.0000
2024-11-08|16:23:12.742,0.5448,0.0576,0.1493,100.0000
2024-11-08|16:23:12.945,0.3619,0.0372,0.0376,100.0000
2024-11-08|16:23:13.145,0.3619,0.0372,0.0376,100.0000
2024-11-08|16:23:13.347,0.2620,0.0261,-0.0181,100.0000
2024-11-08|16:23:13.549,0.2764,0.0300,-0.0239,100.0000
2024-11-08|16:23:13.752,0.3370,0.0469,-0.0077,100.0000
2024-11-08|16:23:13.957,0.4073,0.0675,0.0336,100.0000
2024-11-08|16:23:14.158,0.5103,0.0821,0.1079,100.0000
2024-11-08|16:23:14.360,0.5626,0.0821,0.1079,100.0000
2024-11-08|16:23:14.565,0.5626,0.0849,0.1957,100.0000
2024-11-08|16:23:14.766,0.5750,0.0771,0.2673,100.0000
2024-11-08|16:23:14.969,0.5750,0.0644,0.3092,100.0000
2024-11-08|16:23:15.175,0.5750,0.0542,0.3266,100.0000
2024-11-08|16:23:15.378,0.5750,0.0497,0.3353,100.0000
2024-11-08|16:23:15.582,0.5750,0.0497,0.3353,100.0000
2024-11-08|16:23:15.785,0.5750,0.0493,0.3456,100.0000
2024-11-08|16:23:15.986,0.5750,0.0509,0.3611,100.0000
2024-11-08|16:23:16.191,0.5766,0.0582,0.3862,100.0000
2024-11-08|16:23:16.393,0.6014,0.0747,0.4289,100.0000
2024-11-08|16:23:16.595,0.6365,0.0949,0.4869,100.0000
2024-11-08|16:23:16.797,0.6687,0.1080,0.5431,100.0000
2024-11-08|16:23:17.001,0.6687,0.1080,0.5431,100.0000
2024-11-08|16:23:17.204,0.6692,0.1076,0.5816,100.0000
2024-11-08|16:23:17.410,0.6692,0.0970,0.5973,100.0000
2024-11-08|16:23:17.613,0.6634,0.0839,0.5925,100.0000
2024-11-08|16:23:17.814,0.6470,0.0717,0.5714,100.0000
2024-11-08|16:23:18.017,0.6152,0.0608,0.5388,100.0000
2024-11-08|16:23:18.221,0.6152,0.0608,0.5388,100.0000
