TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-22 14:37:01.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
2024-10-22 14:37:01.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:37:02.746,-0.4000070288013789,0.5238491733868298,0.7387976160334524,-0.361212735890627,-0.3437442696038551,-0.00162054396652022,0.589678014423021,0.2190132830508918,0.7919998244420776,0.4310455458374616,0.760500104117976,0.9078874964664241,0.6742826492890419,0.6288579173489807,0.5831117829691586,0.6149742508839203,0.3755924579814328,0.2705101003377689,0.298902620994986,0.5228250989329944,795.3846153846154,800.2197802197802,802.2344322344322,791.3553113553114,547.985347985348,-0.226379,0.066833,0.985107,4.388885,-6.773987,-3.865509,1,2,1,1,2,30.000000
2024-10-22 14:37:03.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:37:03.740,-0.4000070288013789,0.2670680511000335,0.5724286439388209,-0.361212735890627,-0.3437442696038551,-0.04092806877677654,0.3681651589710939,0.2190132830508918,0.7919998244420776,0.3489779659319271,0.7385305990266052,0.9078874964664241,0.6742826492890419,0.5892130613721449,0.5766258230703573,0.6149742508839203,0.3755924579814328,0.285048852857694,0.3889358227934795,0.5228250989329944,809.8901098901099,790.952380952381,788.5347985347986,787.3260073260074,909.0109890109891,-0.231750,0.068848,0.988037,4.538422,-6.048737,-3.499146,1,2,1,1,2,30.000000
2024-10-22 14:37:04.751,-0.4000070288013789,0.4604125344387854,0.7912326931085553,-0.361212735890627,-0.3437442696038551,0.1749222252098168,0.2404359815579635,0.2190132830508918,0.7919998244420776,0.2770811973722423,0.4543631325932079,0.9078874964664241,0.6742826492890419,0.3792701034228195,0.650645956574126,0.6149742508839203,0.3755924579814328,0.2545847297824576,0.3350896363329006,0.5228250989329944,780.8791208791209,790.952380952381,799.0109890109891,794.5787545787546,774.8351648351648,-0.228821,0.066772,0.984802,4.575806,-6.609497,-3.596344,1,2,1,1,2,30.000000
2024-10-22 14:37:05.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:37:05.745,0.5359405515226686,0.5591357903845149,0.8252321019401559,0.8231145345753441,0.3212340169485445,0.4893193932347905,0.4888716677142921,0.5181335729040951,0.5114319299355058,0.3937307239603852,0.7195650895858294,0.8029457286396228,0.6755070513338426,0.3388461726052347,0.5873775512097937,0.724750540765015,0.1315899137177127,0.2157072018340467,0.1450749141961113,0.5015350561325824,793.3699633699634,782.893772893773,792.967032967033,799.8168498168499,477.8754578754579,-0.232727,0.068665,0.987793,4.344025,-6.108551,-4.127197,1,1,1,1,1,30.000000
2024-10-22 14:37:06.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:37:06.741,0.5359405515226686,0.8441391640655074,0.7290152838673576,0.887552473937786,0.3212340169485445,0.5759125531340363,0.4851416725912307,0.5738831129811015,0.5114319299355058,0.3817396264397664,0.6680832942424166,0.7933948258705202,0.6755070513338426,0.3715115441994413,0.3932621721206914,0.7634309298964671,0.1315899137177127,0.6477454178030843,0.162893301264348,0.476377243171815,796.996336996337,781.2820512820513,789.7435897435897,800.6227106227107,819.96336996337,-0.234314,0.063782,0.989258,4.119720,-7.536621,-4.187012,1,1,1,1,1,30.000000
2024-10-22 14:37:07.743,0.5359405515226686,0.6682523904617093,0.645658618856345,0.887552473937786,0.3212340169485445,0.2927574590771568,0.3146410240658449,0.5738831129811015,0.5114319299355058,0.6053349578125314,0.58754661867333,0.7933948258705202,0.6755070513338426,0.5087884193832758,0.3918684225422553,0.7634309298964671,0.1315899137177127,0.4018302795010126,0.3540316001393853,0.476377243171815,778.0586080586081,801.8315018315019,801.8315018315019,785.7142857142858,574.5787545787546,-0.230042,0.054321,0.984985,5.114136,-6.557159,-3.469238,1,2,1,1,2,30.000000
2024-10-22 14:37:08.746,0.8281820412207775,0.3312325375134989,0.07944102788985936,0.4897544730668901,0.5823631548581634,0.09089108249066841,0.159212677650773,0.5066614013842852,0.9583773778316153,0.5946499055575373,0.5188442036462204,0.7999894880775599,0.7548368976922155,0.5410724830538441,0.4651942820710546,0.581901843806748,0.53522767155708,0.3426912598028793,0.4399567427488203,0.1803277778700768,815.1282051282052,809.0842490842491,802.6373626373627,817.1428571428571,771.6117216117216,-0.241455,0.053406,0.986816,4.583282,-6.871185,-3.925323,1,1,1,1,1,30.000000
