TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-22 14:48:24.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
2024-10-22 14:48:25.033,-0.08686879722594643,-0.6190025888513548,-0.3711637882275094,-0.3032039808679442,0.1086042070257069,-0.260054714546931,-0.1218207306032122,0.1354476911055876,0.6740235195496633,0.2779770764799321,0.2891278301826011,0.4334548913521241,0.7286929204965398,0.7303190197701911,0.8410546100981967,0.7610011020129546,0.4380937430146177,0.4415172672728019,0.6454765427587101,0.4902868200454172,789.7435897435897,788.9377289377289,795.7875457875458,784.1025641025641,767.985347985348,-0.299988,0.010986,0.969238,5.016937,-6.766510,-3.940277,1,1,1,1,1,25.000000
2024-10-22 14:48:26.033,-0.02455093450465618,-0.4938863540345463,-0.3592842579082762,-0.1625369140367863,-0.1356424713579907,-0.5600253512994615,-0.3530209595019971,0.1892601217049095,0.6211753602127907,0.02969716037949534,0.2028075891222831,0.6454308627464178,0.672674848693709,0.6687678567415254,0.8831006223503887,0.6875716357948602,0.4006022659690167,0.4693080203609155,0.7082384336092579,0.4330978416912122,788.1318681318681,786.1172161172161,799.4139194139194,796.1904761904763,733.7362637362637,-0.293152,0.008484,0.973022,4.590759,-7.484283,-3.738403,1,1,1,1,1,25.000000
2024-10-22 14:48:27.033,0.1345218526631387,-0.5532144441378564,-0.4566599465701914,-0.2067133146693181,0.2464455060354639,-0.299154323665896,-0.0721562439954444,0.3010382624864619,0.6960856074369867,0.2166834252766151,0.4697079437218337,0.8817471523130629,0.7057907248916044,0.724034131144897,0.8189971900340054,0.7530200786285186,0.5070910490053868,0.605768419164345,0.836016184697744,0.5350654830251446,797.8021978021978,805.8608058608058,808.6813186813187,805.4578754578755,802.6373626373627,-0.294250,0.009888,0.967285,4.478607,-6.116028,-3.753357,1,1,1,1,1,25.000000
2024-10-22 14:48:28.038,0.0715851212175134,-0.5258593529523637,-0.2956966311682669,-0.001111128794606444,0.1817652156601197,-0.2783373619909897,-0.0548525264808505,0.1529534289540563,0.8892788741599907,0.1893760241397809,0.4624239447358339,0.8083728333178146,0.8911105197249424,0.8194366317685766,0.9347218577254403,0.8253311146395531,0.4573357283486493,0.3880769988201863,0.9035247696738365,0.4885244446146703,815.934065934066,811.0989010989011,798.6080586080586,803.4432234432235,787.7289377289378,-0.294739,0.006592,0.968567,4.844971,-7.028198,-3.865509,1,1,1,1,1,25.000000
2024-10-22 14:48:28.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:29.033,0.1568972121871644,0.4802039756710289,-0.0966734926529047,0.1726478308492179,0.3114336229388319,0.2439184360820431,-0.280166257108349,0.1763154515767509,0.7041763443395357,0.157285108753936,0.3640219931453589,0.1775144466816218,1.007132808903964,0.8321539471523527,0.846417061633346,0.8313562270167365,0.4718210819731987,0.4935152042469683,0.6526284755064,0.4531513107661508,788.1318681318681,795.7875457875458,772.8205128205128,794.981684981685,718.021978021978,-0.299622,0.002502,0.974670,4.658051,-7.162781,-4.673004,1,1,1,1,1,25.000000
2024-10-22 14:48:30.037,0.2153984964655434,0.5346644720107588,-0.02211103660258675,0.1599115070042244,0.2684572703086013,0.2952142665194206,-0.08261186519210845,0.2806679418635883,0.1947096725236587,0.1793837970805718,0.4431810719822423,0.022739193372629,0.97484149102623,0.5752114899493567,0.7229320110800925,0.7399315084518908,0.3583843394248029,0.5122181105391356,0.5585853925649076,0.4047060709539094,789.3406593406594,791.3553113553114,803.8461538461539,793.7728937728938,840.1098901098901,-0.294189,-0.007385,0.970032,3.805695,-5.016937,-5.517883,1,1,1,1,1,25.000000
2024-10-22 14:48:30.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:31.037,0.2730134415106673,-0.2357763420500668,0.2715121550639789,0.3207004278160642,0.1875480112419263,-0.1802147473337087,-0.099002277620583,-0.1173965305937256,0.4353505020119716,0.2950877805292927,0.2660776225013592,0.4831548218477063,0.7929252716349123,0.5907894886740518,0.6469000328157389,0.6800445939747727,0.8445653979002863,0.4877790993312461,0.7327562887671726,0.6356180522187708,792.967032967033,791.3553113553114,796.1904761904763,789.3406593406594,744.2124542124542,-0.292358,0.002258,0.969849,4.972076,-6.287994,-3.207550,1,1,1,1,1,25.000000
2024-10-22 14:48:31.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:32.042,0.2317782076230622,-0.6277564893219246,0.3175399744561379,0.4007319202087273,0.2087887349792362,-0.2834718312859204,0.005879263030535017,-0.2859268294603499,0.4026717702431861,0.3431715470831883,0.1041580084750035,0.4121538759174961,0.8810734904687918,0.5091412864562097,0.5850407137405926,0.7685365762648826,0.8501660030584182,0.4284203293913677,0.7095858585287915,0.6059800790829719,820.7692307692308,813.1135531135532,808.6813186813187,818.7545787545788,939.6336996336996,-0.289368,0.001770,0.972107,4.568329,-6.519775,-3.633728,1,1,1,1,1,25.000000
2024-10-22 14:48:33.041,-0.1549892905359841,-0.7314189252895774,-0.1404578420709565,-0.2432806497041875,-0.03019811505396145,-0.3523338701462407,-0.1569130343496852,0.1109931464562533,0.175769383720741,0.11555971787093,-0.006934869629021272,0.1030585768360056,0.7827367347597508,0.6017363448659474,0.6208501230119886,0.7732999790896354,0.8070184204336938,0.6203513618317782,0.5756613475900884,0.6275607527368515,790.952380952381,785.3113553113553,783.6996336996338,795.7875457875458,803.4432234432235,-0.283630,0.002869,0.974304,4.426270,-6.579590,-3.349609,1,1,1,1,1,25.000000
2024-10-22 14:48:34.033,0.1887822688429474,-0.3487293323140285,-0.6092881385101282,-0.07074844365003702,0.2109386501572933,-0.2451610290092304,-0.4274653738856805,-0.01868674549498183,0.4244305800998195,-0.01526354408457154,0.01340753317345533,0.2968518401954512,0.7958959853911152,0.8105973897498007,0.8533711752065825,0.8407882491323353,0.7119745274202018,0.6106330456934971,0.7518759669616658,0.6081673764322674,804.6520146520147,792.5641025641025,817.1428571428571,790.1465201465202,760.7326007326008,-0.290222,0.005981,0.971680,4.530945,-6.631927,-2.938385,1,1,1,1,1,25.000000
2024-10-22 14:48:35.032,0.4428874742755292,-0.2436184505969625,-0.3266202023810156,0.3045359860418759,0.2366898223154537,-0.182811866773254,-0.3959149790975232,0.2807504647326708,0.5928890494578493,-0.006355798908317941,-0.07408362329710216,0.3511454486970297,0.7885369997621509,0.7746683184246781,0.7821901343387609,0.7749792040716906,0.539318317965284,0.6497463880110182,0.6559721596346155,0.466484068996254,780.8791208791209,786.1172161172161,778.4615384615385,788.9377289377289,708.7545787545788,-0.284241,0.000671,0.973022,4.575806,-6.968384,-3.469238,1,1,1,1,1,25.000000
2024-10-22 14:48:36.033,0.08426995498291355,-0.4453811970252643,-0.265874933898155,0.1543924784806195,0.1963374697194556,-0.3980883943641684,-0.2498031959209269,0.1514107778150715,0.5242325286258069,0.02995586385596619,0.02019307931201271,0.3060752403516925,0.8338051834983138,0.744792004983136,0.9023792745997058,0.7326285257625355,0.4471024034354517,0.5461802891351394,0.7202136312490088,0.3741393666940884,778.8644688644689,803.8461538461539,789.7435897435897,787.3260073260074,831.2454212454213,-0.284607,-0.002258,0.975220,4.523468,-7.065582,-3.282318,1,1,1,1,1,25.000000
2024-10-22 14:48:37.042,0.1375825865728269,-0.3769719158218356,-0.4172859292171227,-0.1001469708700237,0.2826339796212169,-0.3144310288432692,-0.1769590895765042,0.04053458759713699,0.673885245535449,0.03713900911791123,0.08332499809317334,0.3117101912091046,0.8544917244588007,0.6240291874152677,0.824516751729062,0.9179384625911222,0.5041564364176309,0.5227606336556573,0.7344848939303178,0.4587126011254234,807.8754578754579,803.8461538461539,807.0695970695971,790.5494505494506,623.3333333333334,-0.282288,-0.006226,0.974060,5.218811,-6.901093,-2.960815,1,1,1,1,1,25.000000
2024-10-22 14:48:37.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:38.032,0.04577915149064461,-0.4461896065284532,-0.3165938932893727,-0.2456197125732178,0.3758292003772392,0.05154997160985747,-0.1963174569862512,0.1235206298032407,0.6499821400812426,0.08132162018586946,0.1580310532153656,0.2051885502987916,0.6984236582912648,0.5751278492424271,0.5519008611792046,0.8566555580647116,0.5027448549144365,0.5189256531301365,0.6116922254268705,0.5043650576515337,805.8608058608058,810.2930402930403,790.5494505494506,783.6996336996338,729.7069597069598,-0.275452,-0.002258,0.977783,4.261780,-7.028198,-5.861816,1,1,1,1,1,25.000000
2024-10-22 14:48:39.032,-0.1591504108161619,-0.02866555377830936,-0.1133304694238611,-0.2105754659455478,0.4334209411769707,0.2514908876851233,-0.3097457582567207,0.0878794212125282,0.0883782996328958,0.08256771029864785,0.2538160135177768,0.08874109924503701,0.527051592712181,0.4565951871197475,0.5261539863849125,0.634293681893202,0.5765232083943223,0.457027018338001,0.5246031228640178,0.6216619571804196,808.6813186813187,803.8461538461539,815.934065934066,802.6373626373627,772.8205128205128,-0.272949,-0.014038,0.981873,4.568329,-7.237549,-3.192596,1,1,1,1,1,25.000000
2024-10-22 14:48:40.033,0.1091447901711378,-0.2752824901614744,-0.1657110780765454,-0.1860067427830216,0.1420444298675529,-0.1769054942664376,-0.2419226532301418,-0.02428570052706744,0.1990515053597412,0.2699486350422898,0.4601416308745054,0.5615481944372226,0.6493321614511683,0.4382635562673382,0.6336474861117264,0.6600909705242883,0.7060151761441861,0.5304924625496532,0.6901130826403736,0.5682860875375794,789.3406593406594,799.8168498168499,801.4285714285714,782.0879120879121,684.5787545787546,-0.269043,-0.018860,0.985046,3.917847,-7.327271,-3.259888,1,1,1,1,1,25.000000
2024-10-22 14:48:41.033,0.446021071042658,-0.2377838686721538,-0.3699385387658828,0.01520153839338334,0.4518269921308328,-0.166815218449419,-0.2256489419628084,0.2176507068045877,0.7856111277261065,0.3819858308720937,0.5269904609678426,0.3856345365249174,0.6782193555803512,0.3637335841906302,0.6035508069471084,0.601644940916307,0.7690606402991762,0.4601465682939688,0.5433590088268082,0.5471825695829317,783.6996336996338,796.996336996337,806.2637362637363,802.2344322344322,754.6886446886447,-0.283752,-0.015076,0.972290,3.947754,-6.198273,-2.654266,1,1,1,1,1,25.000000
2024-10-22 14:48:42.033,0.3921538772231753,-0.4536311187745435,-0.5441771028642374,0.157772865720088,0.4838413818142463,-0.4051177532982713,-0.220431665587132,0.326298374634269,0.9421525323783867,0.2966886517036806,0.2731128789056432,0.8406047564505269,0.6646711789268344,0.4469639909687212,0.5062928708496868,0.5065097299765253,0.5385345594814104,0.4667898996186938,0.5710778596629099,0.5587455835059976,788.9377289377289,782.893772893773,788.9377289377289,782.0879120879121,796.996336996337,-0.248657,-0.026062,0.986450,5.532837,-7.656250,-2.078552,1,1,1,1,1,25.000000
2024-10-22 14:48:42.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:43.032,0.06683720329163363,-0.385484480721906,-0.2974621453993676,-0.01636521995519205,0.4002287084154153,-0.4532670660332407,-0.1362397708795968,0.25640781578532,0.7936299998912905,0.3186663675300796,0.309835308240802,0.8307782810872735,0.8028397021447878,0.5870573114330558,0.5422950638174225,0.6741252144156202,0.6000830593743608,0.5716023943635107,0.7488346501561004,0.6034799739452091,792.1611721611722,785.7142857142858,805.8608058608058,796.1904761904763,741.3919413919414,-0.254944,-0.016357,0.983948,4.508514,-7.132874,-4.388885,1,1,1,1,1,25.000000
2024-10-22 14:48:44.033,0.1232946971606119,-0.2993986475418008,-0.1136751150766792,-0.09624745259121703,0.4578983609224501,-0.439542687318706,0.06286161075282522,0.352464977319999,0.6788097012707828,0.2772058817880065,0.406522110360751,0.7221453835532095,0.8084542246518485,0.4758125003260329,0.6372254619632304,0.6854108948839773,0.6147303438417533,0.4579773780213318,0.5524626486953524,0.4811423056780184,780.4761904761905,796.1904761904763,807.4725274725275,784.1025641025641,709.5604395604396,-0.252075,-0.019592,0.982361,4.029999,-7.207642,-4.351501,1,1,1,1,1,25.000000
2024-10-22 14:48:45.033,-0.04870243601100329,-0.5982540097184808,-0.1453078032851206,0.1872677050099962,0.4952255396771404,-0.327858228967963,-0.1102841918484607,0.526899345614359,0.5433144426190998,0.1574067800825692,0.1670464423218104,0.468266022293885,0.6815010881518989,0.5145092393472084,0.7830429641774519,0.6613892825054138,0.4982570295218933,0.4815159194087949,0.5130973208270544,0.3913923927475465,782.893772893773,792.967032967033,812.3076923076924,791.3553113553114,724.0659340659341,-0.242004,-0.015442,0.988708,5.114136,-6.459961,-2.893524,1,1,1,1,1,25.000000
2024-10-22 14:48:46.042,-0.1150635460478252,-0.6403950286570704,-0.4429637489272985,0.1064178282110505,0.3298405763139083,-0.277675236121828,-0.2182632299836399,0.3556556942327905,0.5555941625163163,0.2357958388151733,-0.00830826824745619,0.4641139399021046,0.7797802001526216,0.6586856504281617,0.7918824267008082,0.7316573014876355,0.527681874669202,0.5718408107107661,0.7067670346326432,0.4636991394392131,778.8644688644689,786.1172161172161,781.6849816849817,775.6410256410256,715.6043956043957,-0.258179,-0.015320,0.981445,4.471130,-6.676788,-5.188904,1,1,1,1,1,25.000000
2024-10-22 14:48:47.032,0.01321139587011272,-0.4647544430913326,-0.3696089440459814,0.2534948461319672,0.36758209009438,-0.4603365151980487,0.004993145589550139,0.2888945331851655,0.5613473447402816,0.2931388324921775,0.3016905577419609,0.5945698729646264,0.7666972827081281,0.6861189395541498,0.7756388640530975,0.7566568736778021,0.5238333102346352,0.5866667122981114,0.7211530492226621,0.4302078526175308,809.0842490842491,808.6813186813187,803.040293040293,809.4871794871796,827.6190476190476,-0.266663,-0.012939,0.977661,4.545898,-6.310425,-3.237457,1,1,1,1,1,25.000000
2024-10-22 14:48:48.033,0.327132580750124,-0.3041828352722926,-0.2123110879788056,0.2385799409147683,0.1904634550603196,-0.1859887157256595,0.05100995436141672,0.220122064258673,0.6735058758896284,0.2602577229832906,0.4572367209602438,0.7314237578119135,0.7622822904099777,0.5745408930941972,0.7806904834296584,0.7789294993730451,0.6140039018153423,0.5704425589174347,0.6640236610509637,0.5549418989089304,802.2344322344322,809.4871794871796,794.5787545787546,804.6520146520147,860.6593406593407,-0.254700,-0.016357,0.981689,4.994507,-6.519775,-2.729034,1,1,1,1,1,25.000000
2024-10-22 14:48:49.038,0.1223199184918412,-0.4537671028974686,-0.3455201236528461,0.2240663362221001,0.2816611001013152,-0.2027074508041087,-0.145833457554235,0.136718046864698,0.619490199834086,0.25508913183559,0.1467996928099928,0.6745591479983761,0.7893855093339595,0.6698080320381813,0.722529220184249,0.7376010872044024,0.5561570882364304,0.6678034996315149,0.7389293911014578,0.4955160447129366,794.981684981685,805.8608058608058,810.6959706959707,799.4139194139194,890.4761904761905,-0.260681,-0.019226,0.980469,4.785156,-6.332855,-3.880463,1,1,1,1,1,25.000000
2024-10-22 14:48:50.040,-0.003974211462206531,-0.482806535659297,-0.5555503883095778,0.07383818014956768,0.2357511190005734,-0.4301311032845814,-0.396725729205176,0.1153794009132213,0.5632818487392284,0.2494808037270862,0.2732658153431468,0.7072835355894207,0.7248474890390584,0.6466117693853706,0.7722961134877246,0.5848554854095674,0.4775549468063807,0.6608199148762467,0.6776618830383041,0.3689650364472927,804.6520146520147,789.7435897435897,801.4285714285714,806.6666666666667,856.6300366300367,-0.259460,-0.009094,0.981628,4.777679,-6.340332,-3.865509,1,1,1,1,1,25.000000
2024-10-22 14:48:50.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:51.033,0.1044815752908945,-0.1603784945947266,-0.2393604690430649,-0.1647922565017658,0.2119237197920597,-0.1166605771485099,-0.2724641778120509,0.1353805726536504,0.5901917608338786,0.3426835610512177,0.2522959111315863,0.5588236434143302,0.4428216377078184,0.4671765522961865,0.607968648056577,0.5579497820487519,0.4614152745140548,0.5749783917150428,0.5386933155619349,0.3235637871085732,780.8791208791209,786.9230769230769,795.3846153846154,775.2380952380953,792.1611721611722,-0.264526,-0.008057,0.981812,4.486084,-7.394562,-3.469238,1,1,1,1,1,25.000000
2024-10-22 14:48:52.038,0.2822115748303309,0.03866845698367487,0.1650690496630927,-0.1812807889833784,0.271557916189236,0.03369539868163053,0.007655275309017393,0.2484310527249622,0.5148252401415337,0.3994285771244308,0.2580356355639668,0.1808700332617626,0.4306697400451963,0.5651092612663443,0.6911248919978537,0.6344896926599651,0.5115870328773054,0.5088704814897251,0.6951892576621683,0.3111115100235887,796.1904761904763,802.2344322344322,800.2197802197802,796.996336996337,813.919413919414,-0.258240,-0.015076,0.979553,4.463654,-6.235657,-3.783264,1,1,1,1,1,25.000000
2024-10-22 14:48:53.032,0.04643134798310408,-0.4644923709252016,-0.07310278840543878,0.1688217201496635,0.2200046305472448,-0.2305549143982904,-0.1318064256086933,0.1321242935755108,0.7528442262678079,0.3326646041923578,0.4915568342050039,0.672947220018058,0.7600603501440871,0.6036351753333884,0.7657770033967403,0.5569484054776092,0.5031508527931406,0.529336872560127,0.6032570235627758,0.5354867299563599,790.5494505494506,794.5787545787546,794.1758241758242,791.7582417582418,804.2490842490843,-0.258789,-0.017090,0.981995,4.433746,-6.863708,-3.925323,1,1,1,1,1,25.000000
2024-10-22 14:48:54.033,-0.2742669985906332,-0.4989653422541304,-0.2714388378338582,-0.005792260304942145,-0.05235494581442639,-0.701625952417292,-0.1958519499646682,-0.003054965835575493,0.7601061981614105,0.4474692491292481,0.5006681722225711,0.7217071941630908,0.7467055084303853,0.5642198386444587,0.7740910573537088,0.5539924789860771,0.3944144788463879,0.4387815763383399,0.6257399342390854,0.3735981050772924,796.996336996337,805.8608058608058,805.8608058608058,803.040293040293,710.7692307692308,-0.263794,-0.003113,0.975464,4.844971,-7.409515,-3.334656,1,1,1,1,1,25.000000
2024-10-22 14:48:55.033,0.2714177728340497,0.6265411105413363,0.7468884604659385,0.3952167731628391,0.3789305026850918,-0.1851985609217415,0.3393170949834117,0.4450309757163546,0.6245791139355323,0.5409977030311408,0.696931844030147,0.7013271332039424,0.5844507989484056,0.3888127399344883,0.5126783272742308,0.4327574311230533,0.2647824286155921,0.2727615738514078,0.529012676971373,0.3967196311131503,797.8021978021978,785.3113553113553,799.8168498168499,803.040293040293,967.4358974358975,-0.263977,-0.010742,0.983643,4.643097,-5.787048,-3.289795,1,1,1,1,1,25.000000
2024-10-22 14:48:56.032,0.6495860891058741,0.8167591859250427,0.9185837912769215,1.071814679273568,0.4088526213707881,0.1538783371258934,0.3539112310797807,0.4075750069836029,0.6820838961878467,0.5218603044022538,0.6458157637209995,0.609926226081773,0.5780493659631214,0.3975032428253102,0.4251638882818907,0.7167889992169482,0.4946298441938726,0.1291495009233012,0.4538157919604153,0.3843275476848189,766.3736263736264,782.4908424908425,790.5494505494506,794.1758241758242,570.1465201465202,-0.261902,-0.009216,0.976990,4.755249,-5.869293,-3.768311,1,1,1,1,1,25.000000
2024-10-22 14:48:57.032,0.2501293859211374,-0.09568311789952114,0.06026989433738416,0.675722946017784,0.2388204476534782,0.1806374986208709,-0.05503979050485198,0.6235247679975753,1.010846225764065,0.381917745911532,0.2997503888555973,1.02756670989133,0.7839682854935205,0.5072594530217966,0.4709917256758929,0.8144330011988954,0.4190685198823245,0.2839056900270836,0.4228200832987263,0.4136322577269476,785.3113553113553,782.0879120879121,790.1465201465202,786.5201465201466,694.2490842490843,-0.263733,-0.006958,0.980286,4.620667,-6.803894,-3.925323,1,1,1,1,1,25.000000
2024-10-22 14:48:57.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-22 14:48:58.042,0.1510352779951432,0.5780307625201576,0.8305032818524138,0.6296012879323235,0.2199967025358301,0.4301562947286132,0.2906160009017385,0.8965467952501494,1.017656334830348,0.3595056421571583,0.4368886440304678,0.9947848849010298,0.7516418678940245,0.4989823718000141,0.537068145862434,0.8081340189310727,0.4629936277900962,0.2314413297784605,0.5397641271916122,0.3390447261603056,811.9047619047619,796.1904761904763,792.1611721611722,812.3076923076924,891.6849816849817,-0.266113,-0.013306,0.979187,4.007568,-7.050629,-4.082336,1,1,1,1,1,25.000000
2024-10-22 14:48:59.033,0.5647006194841111,0.4889723737093656,0.7730032969030323,0.5356202068732587,0.6208649054002998,0.285935222576413,0.03308323605284548,0.693240003200453,0.6473131005386732,0.1940534714224902,0.3673325712775081,0.4392810898423768,0.6199430292841377,0.4373997082595205,0.5807684938692206,0.6754944376041272,0.4869304621921307,0.1445869420049853,0.45959929959999,0.3523293665906769,781.2820512820513,801.025641025641,793.7728937728938,776.8498168498169,707.948717948718,-0.269775,-0.004639,0.979736,4.964600,-6.467438,-3.775787,1,1,1,1,1,25.000000
2024-10-22 14:49:00.032,0.4230542275611652,-0.3376836088694752,0.1009355331490054,0.4279159011206972,0.467553751052855,-0.3170647654356765,-0.2844495168634447,0.5129788991940746,0.7961258188195975,-0.05110968750838893,0.3246510714090516,0.6868466058216627,0.7276856750387742,0.3161472883802879,0.6571338826701029,0.6664481957249052,0.365536017282865,0.1482144975558475,0.5637435715407569,0.3851282776919839,776.8498168498169,781.6849816849817,794.5787545787546,789.3406593406594,736.5567765567765,-0.258545,-0.004456,0.981750,4.381409,-6.886139,-4.897308,1,1,1,1,1,25.000000
2024-10-22 14:49:01.032,0.02359161780474065,-0.5094067973533928,-0.1741508986425575,0.1627074572612685,0.2710838349266557,-0.3361640334281547,-0.2992199623782565,0.2131340988607862,0.6454315507105123,0.1014075897787306,0.5758534458933017,0.7228028806496301,0.6697068958550226,0.4872446294527541,0.7309018448866944,0.6394633945683615,0.3799956646895151,0.251132226959442,0.6383806613053277,0.4282855723077119,801.4285714285714,797.3992673992674,801.4285714285714,804.2490842490843,900.5494505494506,-0.257080,-0.017456,0.980164,3.364563,-7.484283,-3.902893,1,1,1,1,1,25.000000
