TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
43:29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
45:22.4,-0.025049142,-0.214020124,0.244413447,-0.046456119,0.037780908,0.023014384,-0.080369762,0.041091783,0.065417776,0.37079864,0.227428964,0.498747165,0.531489917,0.428192508,0.771183382,0.416305158,0.056878886,0.310203447,0.453944241,0.163591269,804.2490842,792.5641026,778.8644689,796.5934066,668.0586081,-0.057251,0.127136,1.007568,4.852448,-7.67868,-4.830017,1,1,1,1,1,55,
45:23.4,-0.140867531,-0.734348996,-0.229306871,-0.500030317,0.08483035,-0.266145203,-0.111856758,-0.261072127,0.185971991,0.373231923,0.214685674,0.330859567,0.44390484,0.337619427,0.863475847,0.326903357,-0.20845508,0.135206097,0.24347857,-0.059715679,801.8315018,799.010989,802.2344322,803.8461538,965.4212454,-0.034973,0.142334,1.005676,3.798218,-8.17215,-3.409424,1,1,1,1,1,60,
45:24.4,0.145971758,-0.141727561,0.671967892,-0.115584484,0.120822588,-0.183459693,0.429707197,-0.018916948,0.274543671,0.19519132,0.403528599,0.491573331,0.366907421,0.377266647,0.649765874,0.353369117,0.018668542,0.12534119,0.552877313,-0.108089879,792.5641026,805.0549451,789.7435897,788.9377289,838.0952381,-0.025513,0.126465,1.012085,5.495453,-6.048737,-4.456177,1,1,1,1,1,60,
45:25.4,0.107839057,-0.05140067,0.972454799,-0.193395964,0.02857963,-0.020760636,0.546289412,0.131830873,0.290066571,0.205767751,0.978684252,0.459838724,0.370702771,0.333906184,0.676016772,0.310693643,0.08703126,0.101377251,0.564848134,0.113604144,788.9377289,805.4578755,776.4468864,794.5787546,747.4358974,-0.03717,0.125183,1.011719,4.11972,-8.052521,-5.076752,1,1,1,1,1,60,
45:26.4,0.347719858,0.139041565,1.101669584,0.226326304,0.031435759,0.256912978,0.505446726,0.144127071,0.469265338,0.601372283,1.014982104,0.364319999,0.396340493,0.419985948,0.677376782,0.371437903,0.262392706,0.068956601,0.510157145,0.047632555,794.981685,786.5201465,815.9340659,793.3699634,851.7948718,-0.039734,0.121399,1.009094,5.00946,-8.134766,-3.72345,1,1,1,1,1,60,
45:27.4,0.20549445,0.387532869,0.911856468,0.120537902,0.432716725,0.41705395,0.435875914,0.075304404,0.497273449,0.732146817,0.800580095,0.359482224,0.416321906,0.515477097,0.865854857,0.418535246,0.17091582,0.077302619,0.116123743,0.033456111,796.1904762,797.3992674,812.7106227,796.996337,631.3919414,-0.046204,0.130859,1.014648,4.927216,-7.454376,-3.858032,1,1,1,1,1,60,
45:28.4,0.402619768,-0.092138357,0.870248593,0.140998043,0.210575825,0.007101272,0.391174401,0.105155017,0.503478151,0.6976183,0.439623002,0.229514038,0.34272353,0.355493405,0.724047232,0.282632497,0.051412223,-0.151943139,0.180674801,-0.12479926,800.2197802,790.5494505,901.3553114,795.3846154,647.1062271,-0.029419,0.129822,1.00946,4.605713,-6.302948,-5.046844,1,1,1,1,1,60,
45:29.4,0.951128398,0.510718804,0.910023469,0.305783058,0.265814483,0.242901688,0.450591275,0.098315517,0.546041565,0.855072055,0.298120966,0.256135564,0.410016086,0.290408867,0.566539804,0.354154792,0.109020665,0.318685751,0.262560839,0.046220704,794.981685,788.5347985,781.6849817,801.4285714,1000.47619,-0.02356,0.112793,1.010315,3.334656,-6.474915,-3.342133,1,1,1,1,1,60,
45:30.4,0.805050982,0.726336992,0.910023469,0.204113774,0.210394616,0.470723182,0.450591275,0.294846678,0.526891263,0.834272253,0.298120966,0.611722166,0.538098348,0.388387093,0.566539804,0.37998146,0.096367219,0.197268287,0.262560839,0.039773262,811.5018315,800.6227106,761.1355311,794.981685,874.3589744,-0.022217,0.112061,1.013977,4.949646,-7.065582,-3.835602,1,1,1,1,1,60,
45:31.4,0.222746269,0.740407658,0.910023469,-0.188723732,0.026273558,0.366123808,0.450591275,-0.067140977,0.519462427,0.870372127,0.298120966,0.300892216,0.33653992,0.382946691,0.566539804,0.338282321,0.068530487,0.012093078,0.262560839,0.044401027,806.2637363,808.6813187,817.5457875,807.0695971,726.4835165,-0.045837,0.111938,1.008606,4.747772,-6.145935,-4.897308,1,1,1,1,1,60,
45:32.4,0.201459545,1.110021219,0.910023469,0.040557937,0.08402937,0.734362836,0.450591275,0.12982022,0.626267056,0.92022888,0.298120966,0.276311886,0.352538897,0.355333106,0.566539804,0.270448763,0.142801608,-0.122640395,0.262560839,0.052688488,793.7728938,794.981685,802.6373626,795.7875458,611.6483516,-0.033447,0.112488,1.012878,5.375824,-6.482391,-4.98703,1,1,1,1,1,60,
45:33.4,0.037624278,0.316342262,0.910023469,-0.123648454,0.238044274,0.189383366,0.450591275,0.121674568,0.556591142,0.346536432,0.298120966,0.353643381,0.250342625,0.150649961,0.566539804,0.218076848,0.06371311,-0.09303597,0.262560839,-0.08154015,796.1904762,799.8168498,784.9084249,797.3992674,674.9084249,-0.075195,0.111938,1.005554,4.82254,-8.052521,-4.314117,1,1,1,1,1,60,
45:34.4,0.258823321,-0.078982028,0.680475016,-0.050774591,0.347647473,-0.012438087,0.396223536,0.071262918,0.485934923,0.273719373,0.591851018,0.301698666,0.259886332,0.246596985,0.62806178,0.191819994,-0.026991212,-0.162225983,0.006567813,-0.095115611,794.1758242,794.1758242,770.4029304,796.996337,683.7728938,-0.061096,0.116516,1.003113,3.805695,-5.697327,-5.71228,1,1,1,1,1,60,
45:35.4,0.922856685,0.427280361,0.888090973,0.303777329,0.607148847,0.174069456,0.453011626,0.149249378,0.732497389,0.444243015,0.6458563,0.277036201,0.319871921,0.333460151,0.504362689,0.272183296,0.097111953,-0.074539856,0.208200239,0.012379964,802.6373626,794.981685,790.1465201,812.3076923,965.8241758,-0.03949,0.116211,1.012024,4.979553,-6.101074,-4.770203,1,1,1,1,1,60,
45:36.4,0.31456386,0.135980761,1.066360672,-0.212048003,0.39421588,-0.02996783,0.797405461,0.260716381,0.50872645,0.321043025,0.634732807,0.363473601,0.219951661,0.200605424,0.542055022,0.108623543,0.038888298,-0.380943717,0.245053834,0.036223757,807.0695971,805.4578755,811.9047619,796.1904762,632.6007326,-0.046143,0.124329,1.012451,4.919739,-6.661835,-5.024414,1,1,1,1,1,60,
45:37.4,0.334222839,0.697089876,1.237784944,-0.053277453,0.426601707,0.203174069,0.770984406,0.287552078,0.562540951,0.452399197,0.517963606,0.428926425,0.123973257,0.203845539,0.604840215,0.2668285,0.048897483,-0.287118381,0.185881112,0.132319445,801.025641,788.1318681,802.6373626,798.6080586,724.8717949,-0.044678,0.118652,1.009583,4.680481,-7.088013,-3.753357,1,1,1,1,1,60,
45:38.4,0.615002734,0.718342716,1.237784944,0.313380939,0.577267866,0.235155264,0.770984406,0.249686726,0.732425726,0.468999057,0.517963606,0.370172204,0.27703308,0.162541808,0.604840215,0.333670939,0.018828229,-0.049688632,0.185881112,-0.0233154,799.8168498,790.952381,709.1575092,802.2344322,1033.113553,-0.038696,0.11377,1.013245,3.775787,-7.267456,-3.798218,1,1,1,1,1,60,
45:39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:39.4,-0.031629555,0.186728531,1.237784944,0.092224135,0.147391751,-0.100543588,0.770984406,0.127548457,0.541034075,0.310420358,0.517963606,0.21795358,0.404924715,0.25826087,0.604840215,0.433367633,0.013521739,0.014270381,0.185881112,0.02957593,789.7435897,929.1575092,1224.505495,755.0915751,767.985348,-0.49762,0.124329,0.864197,13.428345,0.583191,-7.013245,1,1,1,1,1,60,
45:40.4,-0.258070888,0.048291673,1.237784944,-0.06938308,-0.075360662,-0.456680651,0.770984406,0.277469747,0.129749315,0.082394483,0.517963606,-0.072679663,0.279267456,0.31835953,0.604840215,0.355276957,0.118775253,0.133749741,0.185881112,0.136640585,865.0915751,806.2637363,848.1684982,842.9304029,814.3223443,-0.557007,0.153259,0.85199,5.996399,-12.792816,-13.413391,1,1,1,1,1,60,
45:40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:41.4,-0.258070888,0.048291673,1.237784944,-0.06938308,-0.075360662,-0.456680651,0.770984406,0.277469747,0.129749315,0.082394483,0.517963606,-0.072679663,0.279267456,0.31835953,0.604840215,0.355276957,0.118775253,0.133749741,0.185881112,0.136640585,777.6556777,776.043956,792.967033,780.0732601,764.7619048,-0.486694,0.139343,0.877625,4.777679,-8.209534,-3.618774,1,1,1,1,1,60,
45:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:42.4,1.040687644,0.048291673,1.237784944,0.845896052,0.979957507,-0.456680651,0.770984406,0.648657561,0.581765627,0.082394483,0.517963606,0.611751065,0.534200207,0.31835953,0.604840215,0.547081319,0.287624472,0.133749741,0.185881112,0.432572548,789.3406593,753.0769231,745.018315,786.1172161,751.0622711,-0.464172,0.087463,0.885498,1.330872,-10.175934,4.717865,1,1,1,1,1,60,
45:43.4,1.040687644,1.117998025,1.237784944,0.845896052,0.979957507,0.809946251,0.770984406,0.648657561,0.581765627,1.034829875,0.517963606,0.611751065,0.534200207,0.658167615,0.604840215,0.547081319,0.287624472,0.413012158,0.185881112,0.432572548,821.1721612,758.7179487,749.047619,825.2014652,742.1978022,-0.42627,0.155823,0.90094,5.248718,-7.446899,-2.781372,1,1,1,1,1,60,
45:44.4,1.659965238,1.218253609,1.237784944,1.480590283,0.789943855,0.929457591,0.770984406,0.793491274,1.101501563,0.996164451,0.517963606,1.180042175,0.514388065,0.578496098,0.604840215,0.636108223,0.257590901,0.229554113,0.185881112,0.256306129,802.6373626,769.1941392,772.014652,806.6666667,960.1831502,-0.36554,0.164612,0.924255,5.368347,-6.945953,-0.882263,1,1,1,1,1,60,
45:45.4,1.4751602,0.501431648,1.237784944,1.444462214,0.971653516,0.550158754,0.770984406,0.821053056,1.286682021,0.685289464,0.517963606,1.301158733,0.636334946,0.084184948,0.604840215,0.467471239,0.163445781,-0.105826665,0.185881112,0.151630607,823.992674,804.2490842,775.6410256,805.0549451,460.5494505,-0.369812,0.172974,0.925842,4.560852,-7.768402,-4.658051,1,1,1,1,1,60,
45:46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:46.5,0.770179241,1.00167707,1.237784944,1.265490643,0.250433094,0.467359042,0.770984406,0.683212833,0.731350137,0.388631365,0.517963606,0.85049151,0.714100758,0.115164606,0.604840215,0.534694814,-0.039703432,-0.188210674,0.185881112,0.195399399,811.9047619,825.6043956,697.8754579,767.1794872,632.6007326,-0.351318,0.178833,0.935242,5.570221,-9.78714,-0.897217,1,1,1,1,1,60,
45:47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:47.4,0.770179241,1.101227322,1.237784944,1.54556883,0.250433094,0.296592792,0.770984406,0.783433482,0.731350137,-0.107105636,0.517963606,0.69256738,0.714100758,0.062378719,0.604840215,0.492872183,-0.039703432,-0.169852975,0.185881112,0.171802756,796.5934066,777.2527473,808.6813187,796.1904762,786.9230769,-0.319824,0.153625,0.951965,-0.097198,-7.940369,2.205658,1,1,1,1,1,60,
45:48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:48.4,0.770179241,1.101227322,1.237784944,1.54556883,0.250433094,0.296592792,0.770984406,0.783433482,0.731350137,-0.107105636,0.517963606,0.69256738,0.714100758,0.062378719,0.604840215,0.492872183,-0.039703432,-0.169852975,0.185881112,0.171802756,797.3992674,778.8644689,804.2490842,838.0952381,723.6630037,-0.286682,0.157776,0.954529,2.557068,-6.572113,2.198181,1,1,1,1,1,60,
