TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-15 09:24:36.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
2024-10-15 09:24:37.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:37.998,0.7676383726284349,0.7693106716892119,0.3151135161300931,0.4134363527339906,1.200726770064027,0.278470475756304,0.3575616407555348,0.5645606894033529,1.254924000034276,0.1893561857426924,0.2924906053623996,0.7865274874458192,0.889245946448617,-0.02075003799112964,0.2890438109833073,0.5104339206670517,0.4869979195787094,-0.2162812872152913,-0.02539213438354201,0.6165790146217026,626.959706959707,796.996336996337,767.985347985348,767.985347985348,774.0293040293041,-0.231567,0.079163,0.975342,4.224396,-5.330963,-5.233765,1,1,1,1,1,30.000000
2024-10-15 09:24:38.990,1.114785938445888,0.1390241547460199,-0.1442720688810946,0.8921506080056654,1.17240069076315,0.05221891463130038,0.2080583231315912,1.164804930303021,1.295983857860916,0.1002646084720335,-0.08294109579224795,0.9054029974311595,0.7733367855890638,-0.04450025426394011,0.1589979087280201,0.5065599783665387,0.5737732856636509,-0.3316508195263611,-0.1142802661505439,0.7113539992121265,566.9230769230769,783.2967032967033,770,765.1648351648352,630.989010989011,-0.218201,0.094360,0.984680,4.321594,-6.781464,-3.671112,1,1,1,1,1,30.000000
2024-10-15 09:24:39.990,0.9897603808342089,-0.03233015864505807,-0.2070788362036469,0.5313919983376446,0.705477076256477,-0.2101090825194485,-0.1345172139743104,0.5344662649041733,0.8362111104955396,0.2181223419406634,-0.03493817077775083,0.4727909720288997,0.530017655142935,0.07408744779075978,-0.07561155720774472,0.4985306019565534,0.5441632527602084,-0.4270921379729444,-0.2893493208188231,0.5779564138599288,568.1318681318681,782.893772893773,770,750.6593406593407,703.1135531135532,-0.209473,0.095154,0.985840,5.360870,-7.050629,-5.659943,1,1,1,1,1,30.000000
2024-10-15 09:24:40.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:40.990,0.7682394097165998,0.462780888549179,0.5135223017793021,0.2986126606355387,0.4598336960302672,0.1996259728828743,0.425813841439722,0.1930375657318827,0.09813255215498107,0.2027024426552806,0.06082964340506812,0.3609955940656515,0.3812434768894,-0.03936007296840547,-0.0256545180773425,0.560708114237871,0.3407725937761761,-0.2407618166648338,-0.2786547093539251,0.5547019376923115,650.7326007326008,792.967032967033,764.3589743589744,786.1172161172161,683.3699633699634,-0.237976,0.096619,0.980225,5.218811,-0.022430,-2.923431,1,1,1,1,1,30.000000
2024-10-15 09:24:41.998,0.7654232981957058,0.4307263951767713,0.5576308591645557,0.46650364330323,1.0958906233337,0.2140140013917161,0.4190625190662931,0.3230607390750162,1.059315650827501,0.2349809883015615,0.09505935465602515,0.3355805989023719,1.031639347336792,-0.03226954465836922,0.1845353516033678,0.5816303227578522,0.4490049290055806,-0.1864710595959151,-0.01282112486944515,0.623817518368003,583.040293040293,784.1025641025641,778.4615384615385,795.3846153846154,826.007326007326,-0.209412,0.116028,0.984253,2.871094,-6.198273,-4.822540,1,1,1,1,1,30.000000
2024-10-15 09:24:42.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:42.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:42.990,1.398147062067934,0.3143818618502318,0.3777661911977466,0.46650364330323,1.605499324683281,-0.1230445369405617,-0.004919939762147768,0.3230607390750162,1.398688877693861,0.3386233369814438,0.008181109692721365,0.3355805989023719,0.9674143343126154,-0.0609375801854967,0.05736175133126031,0.5816303227578522,0.4455795531346128,-0.3218931040201539,-0.02557005314871885,0.623817518368003,583.8461538461538,784.5054945054945,765.9706959706959,743.4065934065934,854.2124542124542,-0.194824,0.106812,0.991272,5.428162,-6.773987,-3.491669,1,1,1,1,1,30.000000
2024-10-15 09:24:43.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:44.088,1.690137918784446,0.07606696453201511,0.2538758343012634,0.46650364330323,1.875797228204455,-0.2209143596261798,0.1075550207228603,0.3230607390750162,1.36993906437354,0.2049395969149009,-0.0007815320385156903,0.3355805989023719,0.8709262723839507,-0.142384748314329,-0.1865631099579816,0.5816303227578522,0.441259487920172,-0.4208579632725373,-0.1388203410782946,0.623817518368003,572.5641025641025,786.5201465201466,780.0732600732601,785.7142857142858,1032.307692307692,-0.189941,0.111145,0.991455,4.538422,-5.787048,-5.218811,1,1,1,1,1,30.000000
