TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-15 09:31:45.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
2024-10-15 09:31:45.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:31:45.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:31:46.479,0.1720413478433994,0.9146299344224096,0.7947819449154648,0.6907233116040848,0.6192134800423932,0.6073439323398112,0.3939425556885759,0.2836275731820099,0.6714359175360708,0.424303925292928,0.4730003863799126,0.04612374472843944,0.756655892891842,-0.1381853554150028,-0.1698100013318751,0.6380088406104805,0.3633630034559957,-0.5065284361962261,-0.3806661362005888,0.4625256648751481,652.7472527472528,794.981684981685,784.5054945054945,749.8534798534798,639.8534798534798,-0.146362,0.100037,1.003357,4.882355,-6.691742,-3.723450,1,1,1,1,1,35.000000
2024-10-15 09:31:47.485,1.08411008575644,0.5467189720585428,0.6958240507966094,0.86482597150896,0.9683073909139625,0.3489318592017858,0.611327810042951,0.5397044033728251,0.3966808005761073,0.3858509159148197,0.629741856546306,0.7148978692180926,0.4377116054778671,0.08635973449674923,-0.0617054076113629,0.4483396248151605,0.2609173192616814,-0.4312396437178173,-0.3540739350009325,0.5955079246006875,793.7728937728938,801.025641025641,793.3699633699634,796.5934065934066,748.6446886446887,-0.143616,0.101440,1.000122,5.211334,-6.482391,-3.917847,1,1,1,1,1,35.000000
2024-10-15 09:31:48.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:31:48.478,0.9598311977596283,0.5590700955720985,0.6833657180786822,0.8365735120304836,0.8888838137702688,0.3012393753218152,0.5419940855098879,0.5373295378384044,0.5266024103550803,0.4970210373577109,0.5359802904427863,0.7492946023735823,0.3913142097122667,0.005729263287011716,-0.01265682167784332,0.4413441160609893,0.3521688239786603,-0.5153467962474578,-0.2957141545581905,0.5567068445521168,621.7216117216118,808.2783882783883,785.3113553113553,742.6007326007326,615.6776556776557,-0.142761,0.099915,1.004700,4.568329,-6.542206,-4.994507,1,1,1,1,1,35.000000
2024-10-15 09:31:49.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:31:49.479,0.4512725343544726,0.672231541269084,0.9230054753399586,0.5872686612271651,0.6107052292051048,0.3762748509456551,0.5023900550736307,0.4521767068567042,0.4477333202516484,0.6250167943962734,0.4610599906754162,0.691920070726099,0.3218402377385731,-0.1002595494659283,-0.1051692331578335,0.3931921008935166,0.4439340896122507,-0.4388189507520437,-0.4221890122040847,0.3805867399032154,908.6080586080586,801.4285714285714,789.3406593406594,814.7252747252747,817.948717948718,-0.146057,0.095642,0.999634,4.381409,-6.213226,-4.830017,1,1,1,1,1,35.000000
2024-10-15 09:31:49.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:31:50.479,0.4512725343544726,0.799804380074269,0.901668079430476,0.5872686612271651,0.6107052292051048,0.6334434832963561,0.4268617287486039,0.4521767068567042,0.4477333202516484,0.4948635549517196,0.469582877230576,0.691920070726099,0.3218402377385731,-0.03051173028357393,-0.1489494205555594,0.3931921008935166,0.4439340896122507,-0.4487349308615557,-0.273884611432881,0.3805867399032154,979.92673992674,795.7875457875458,800.6227106227107,850.5860805860806,1165.274725274725,-0.138977,0.098877,1.004639,5.301056,-6.542206,-3.992615,1,1,1,1,1,35.000000
2024-10-15 09:31:51.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:31:51.478,0.4512725343544726,0.7049260172694797,0.7996948790157518,0.5872686612271651,0.6107052292051048,0.4492900372673549,0.3184650432729652,0.4521767068567042,0.4477333202516484,0.211642386332062,0.2305561916174448,0.691920070726099,0.3218402377385731,-0.09294210103021149,-0.1575257531620657,0.3931921008935166,0.4439340896122507,-0.5010480515185062,-0.3397921946955494,0.3805867399032154,903.7728937728938,790.952380952381,794.981684981685,821.978021978022,917.8754578754579,-0.137207,0.101196,1.005493,4.725342,-7.088013,-5.218811,1,2,1,1,2,35.000000
2024-10-15 09:31:52.478,0.4512725343544726,0.4557661685215524,0.3626659036238138,0.5872686612271651,0.6107052292051048,0.03107082624848258,0.2279422760451076,0.4521767068567042,0.4477333202516484,-0.08556368348875192,0.1874160034941467,0.691920070726099,0.3218402377385731,-0.08769663296004833,-0.04728096459582341,0.3931921008935166,0.4439340896122507,-0.2125750959349287,-0.2286704950322374,0.3805867399032154,986.7765567765568,796.1904761904763,800.2197802197802,853.4065934065934,1231.355311355311,-0.141785,0.095093,1.002319,4.493561,-6.661835,-4.366455,1,2,1,1,2,35.000000
